Metoda;Krok_Typ;h0;Iteracja;x0_1;x0_2;x_opt_1;x_opt_2;y_opt;f_calls;g_calls;H_calls;Status
SD;Staly 0.25;0.25;25;1.22369;-0.853156;1.55176;-0.765473;0.452849;10001;10000;0;0
SD;Staly 0.25;0.25;26;-1.28376;0.00939538;-1.40185;0.865588;0.676054;10001;10000;0;0
SD;Staly 0.25;0.25;27;1.03838;-1.26587;1.56294;-0.76229;0.439114;10001;10000;0;0
SD;Staly 0.25;0.25;28;1.50063;0.45646;1.71414;-0.829832;0.305503;10001;10000;0;0
SD;Staly 0.25;0.25;29;1.12467;-1.95327;5.82358e-07;-1.40594e-06;1.83618e-12;32;31;0;1
SD;Staly 0.25;0.25;30;-1.99036;-0.736346;-5.11017e-07;1.2337e-06;1.41386e-12;26;25;0;1
SD;Staly 0.25;0.25;31;-0.568598;1.76864;-4.15558e-07;1.00324e-06;9.34971e-13;30;29;0;1
SD;Staly 0.25;0.25;32;1.43386;1.13843;1.65438;-0.774251;0.34405;10001;10000;0;0
SD;Staly 0.25;0.25;33;0.908919;1.28524;-5.12171e-07;1.23649e-06;1.42025e-12;26;25;0;1
SD;Staly 0.25;0.25;34;-1.72714;-1.61566;-3.76935e-07;9.10003e-07;7.69253e-13;32;31;0;1
SD;Staly 0.25;0.25;35;-1.04731;0.283093;-3.72741e-07;8.99876e-07;7.52227e-13;31;30;0;1
SD;Staly 0.25;0.25;36;-0.899149;-0.535743;-4.52546e-07;1.09254e-06;1.10882e-12;26;25;0;1
SD;Staly 0.25;0.25;37;1.26569;0.375473;1.27775;-0.8848;0.844113;10001;10000;0;0
SD;Staly 0.25;0.25;38;1.22858;-0.178892;1.28727;-0.877398;0.829695;10001;10000;0;0
SD;Staly 0.25;0.25;39;0.586027;0.167994;4.09478e-07;-9.88568e-07;9.07815e-13;25;24;0;1
SD;Staly 0.25;0.25;40;0.551249;1.2764;-4.01883e-07;9.70231e-07;8.74449e-13;28;27;0;1
SD;Staly 0.25;0.25;41;-0.409897;0.0709179;-5.58405e-07;1.34811e-06;1.68824e-12;25;24;0;1
SD;Staly 0.25;0.25;42;-0.120018;1.69139;-4.86777e-07;1.17518e-06;1.28291e-12;29;28;0;1
SD;Staly 0.25;0.25;43;-1.02061;-0.219525;-3.8002e-07;9.17448e-07;7.81893e-13;29;28;0;1
SD;Staly 0.25;0.25;44;-0.470941;0.163253;-5.05297e-07;1.2199e-06;1.38238e-12;26;25;0;1
SD;Staly 0.25;0.25;45;-1.40653;0.513621;-1.89178;0.81911;0.470228;10001;10000;0;0
SD;Staly 0.25;0.25;46;-0.600721;-0.329914;-5.62434e-07;1.35784e-06;1.71269e-12;22;21;0;1
SD;Staly 0.25;0.25;47;1.15021;-1.82656;3.9205e-07;-9.46493e-07;8.32183e-13;33;32;0;1
SD;Staly 0.25;0.25;48;1.15616;-0.196574;1.34096;-0.857306;0.755652;10001;10000;0;0
SD;Staly 0.25;0.25;49;-0.547469;0.624121;-4.26932e-07;1.0307e-06;9.86852e-13;28;27;0;1
SD;Staly 0.25;0.25;50;1.13781;-0.33553;1.775;-0.85713;0.304172;10001;10000;0;0
SD;Staly 0.25;0.25;51;-0.0610117;-0.577639;3.91606e-07;-9.45419e-07;8.30296e-13;27;26;0;1
SD;Staly 0.25;0.25;52;0.475158;1.85325;-4.30004e-07;1.03812e-06;1.00111e-12;29;28;0;1
SD;Staly 0.25;0.25;53;-0.34177;1.04668;-5.36991e-07;1.29641e-06;1.56124e-12;28;27;0;1
SD;Staly 0.25;0.25;54;0.406993;0.14302;3.82953e-07;-9.24531e-07;7.94011e-13;23;22;0;1
SD;Staly 0.25;0.25;55;-1.07659;0.575912;-1.34082;0.85698;0.755713;10001;10000;0;0
SD;Staly 0.25;0.25;56;0.377209;0.00614457;3.62291e-07;-8.74647e-07;7.10641e-13;25;24;0;1
SD;Staly 0.25;0.25;57;1.29386;1.26539;4.05855e-07;-9.79822e-07;8.91822e-13;30;29;0;1
SD;Staly 0.25;0.25;58;1.11091;1.02509;4.64916e-07;-1.12241e-06;1.17027e-12;27;26;0;1
SD;Staly 0.25;0.25;59;1.21192;-1.87138;1.28401;-0.875029;0.832333;10001;10000;0;0
SD;Staly 0.25;0.25;60;1.32974;0.45581;1.47291;-0.858944;0.571456;10001;10000;0;0
SD;Staly 0.25;0.25;61;1.93415;-1.17713;1.76543;-0.820795;0.304394;10001;10000;0;0
SD;Staly 0.25;0.25;62;-1.25957;-0.991242;-5.1361e-07;1.23997e-06;1.42825e-12;30;29;0;1
SD;Staly 0.25;0.25;63;-1.20535;-1.28141;-4.06121e-07;9.80462e-07;8.92988e-13;28;27;0;1
SD;Staly 0.25;0.25;64;-0.115665;-1.75191;4.78119e-07;-1.15428e-06;1.23768e-12;29;28;0;1
SD;Staly 0.25;0.25;65;-0.684234;-1.91451;3.73299e-07;-9.01223e-07;7.54481e-13;29;28;0;1
SD;Staly 0.25;0.25;66;-1.87399;-0.878711;-5.10901e-07;1.23342e-06;1.41322e-12;29;28;0;1
SD;Staly 0.25;0.25;67;0.74985;0.025439;4.30728e-07;-1.03987e-06;1.00448e-12;27;26;0;1
SD;Staly 0.25;0.25;68;1.65497;0.514624;1.66733;-0.771318;0.334896;10001;10000;0;0
SD;Staly 0.25;0.25;69;-0.69696;1.81712;-3.52269e-07;8.50452e-07;6.71868e-13;31;30;0;1
SD;Staly 0.25;0.25;70;1.64359;-1.12137;1.60884;-0.842555;0.386659;10001;10000;0;0
SD;Staly 0.25;0.25;71;1.94942;1.64728;-5.61187e-07;1.35483e-06;1.7051e-12;25;24;0;1
SD;Staly 0.25;0.25;72;1.93403;1.70045;-4.86979e-07;1.17567e-06;1.28397e-12;25;24;0;1
SD;Staly 0.25;0.25;73;1.25921;-0.389334;1.79614;-0.86184;0.314942;10001;10000;0;0
SD;Staly 0.25;0.25;74;0.86797;-1.17599;3.59593e-07;-8.68135e-07;7.00098e-13;31;30;0;1
SD;Staly 0.25;0.25;75;0.172128;1.82653;-4.95706e-07;1.19674e-06;1.3304e-12;29;28;0;1
SD;Staly 0.25;0.25;76;-1.44492;0.329224;-1.81261;0.85935;0.328504;10001;10000;0;0
SD;Staly 0.25;0.25;77;-0.271818;0.037689;-5.26311e-07;1.27063e-06;1.49975e-12;24;23;0;1
SD;Staly 0.25;0.25;78;-0.428182;-1.26028;4.46991e-07;-1.07913e-06;1.08176e-12;28;27;0;1
SD;Staly 0.25;0.25;79;-0.124854;0.993769;-4.56193e-07;1.10135e-06;1.12676e-12;28;27;0;1
SD;Staly 0.25;0.25;80;-1.9827;1.56257;-4.88195e-07;1.17861e-06;1.29039e-12;33;32;0;1
SD;Staly 0.25;0.25;81;-1.29928;1.87909;-5.01453e-07;1.21061e-06;1.36143e-12;36;35;0;1
SD;Staly 0.25;0.25;82;1.68465;0.0963293;1.73487;-0.770878;0.308878;10001;10000;0;0
SD;Staly 0.25;0.25;83;1.35809;-0.31298;1.44788;-0.884311;0.615381;10001;10000;0;0
SD;Staly 0.25;0.25;84;0.0804486;-1.4752;4.11268e-07;-9.9289e-07;9.1577e-13;29;28;0;1
